Code,Name,Attendance,Seen_in_4hrs,Admissions
RYV,Cambridgeshire Community Services NHS Trust,731,N/A,0
NAX,East Coast Community Healthcare C.I.C,95,N/A,0
Y02662,Greyfriars Health Centre,210,N/A,0
RQQ,Hinchingbrooke Health Care NHS Trust,818,92.90%,188
RGQ,Ipswich Hospital NHS Trust,1576,97.90%,430
RGP,James Paget University Hospitals NHS Foundation Trust,1391,94.40%,257
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,2199,95.60%,614
NMH01,Norwich Practices Ltd (Castle Mall),1312,N/A,0
RGN,Peterborough And Stamford Hospitals NHS Foundation Trust,1873,80.20%,503
NHM,Suffolk Community Healthcare,112,N/A,0
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1083,95.60%,348
RGR,West Suffolk NHS Foundation Trust,1192,96.10%,348
NQ1,Anglian Community Enterprise Community Interest Company (Ace Cic),515,N/A,0
NWK,Assura Chelmsford Llp,710,N/A,0
RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,2419,93.40%,477
RDE,Colchester Hospital University NHS Foundation Trust,1574,94.20%,438
RQ8,Mid Essex Hospital Services NHS Trust,1701,90.60%,404
Y02646,North Colchester Healthcare Centre,1137,N/A,0
RAJ,Southend University Hospital NHS Foundation Trust,1753,85.90%,500
RQW,The Princess Alexandra Hospital NHS Trust,2156,87.40%,500
RMC,Bolton NHS Foundation Trust,2277,94.20%,507
RY2,Bridgewater Community Healthcare NHS Trust,2622,N/A,0
RW3,Central Manchester University Hospitals NHS Foundation Trust,5780,92.10%,824
Y02875,Lindley House Health Centre,1065,N/A,0
RW6,Pennine Acute Hospitals NHS Trust,5968,95.80%,"1,226"
RT2,Pennine Care NHS Foundation Trust,1598,N/A,0
RM3,Salford Royal NHS Foundation Trust,1877,95.20%,588
RWJ,Stockport NHS Foundation Trust,1785,93.00%,565
RMP,Tameside Hospital NHS Foundation Trust,1659,92.30%,456
RBV,The Christie NHS Foundation Trust,0,N/A,0
RM2,University Hospital Of South Manchester NHS Foundation Trust,1886,96.20%,596
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",1765,93.80%,497
NWJ,Assura Lea Valley Llp,363,N/A,0
RC1,Bedford Hospital NHS Trust,1300,88.60%,304
Y03571,Corby Urgent Care Centre,1368,N/A,0
RWH,East And North Hertfordshire NHS Trust,2563,92.00%,628
RY4,Hertfordshire Community NHS Trust,144,N/A,0
RNQ,Kettering General Hospital NHS Foundation Trust,1478,95.40%,395
RC9,Luton And Dunstable University Hospital NHS Foundation Trust,2445,98.30%,526
RD8,Milton Keynes Hospital NHS Foundation Trust,2772,84.60%,287
RNS,Northampton General Hospital NHS Trust,2165,88.70%,514
Y02428,Putnoe Medical Centre Walk In Centre,405,N/A,0
RWG,West Hertfordshire Hospitals NHS Trust,2592,91.30%,558
RN7,Dartford And Gravesham NHS Trust,1988,96.20%,585
G82071,Dr Jm Ribchester & Partners,400,N/A,0
RVV,East Kent Hospitals University NHS Foundation Trust,4027,91.00%,785
RYY,Kent Community Health NHS Trust,2396,N/A,0
RWF,Maidstone And Tunbridge Wells NHS Trust,2531,92.20%,658
RPA,Medway NHS Foundation Trust,1755,96.00%,235
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,1901,83.80%,433
RXR,East Lancashire Hospitals NHS Trust,3624,87.30%,758
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,2441,96.10%,419
C82038,Latham House Medical Practice,140,N/A,0
RY5,Lincolnshire Community Health Services NHS Trust,3050,N/A,0
NJS05,Loughborough Urgent Care Centre,936,N/A,0
C82009,Market Harborough Med.Ctr,288,N/A,0
C82010,Oakham Medical Practice,82,N/A,0
RWD,United Lincolnshire Hospitals NHS Trust,3017,94.20%,727
RWE,University Hospitals Of Leicester NHS Trust,4231,80.60%,723
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",4980,85.90%,969
RVL,Barnet And Chase Farm Hospitals NHS Trust,2796,81.70%,381
R1H,Barts Health NHS Trust,8652,93.60%,"1,698"
NTPAH,Broad Street Medical Practice & Walk In Centre,501,N/A,0
NQV,Bromley Healthcare,566,N/A,0
RYX,Central London Community Healthcare NHS Trust,4461,N/A,0
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,2300,98.10%,341
RJ6,Croydon Health Services NHS Trust,2743,92.20%,600
Y02823,Dmc Vicarage Lane,633,N/A,0
RC3,Ealing Hospital NHS Trust,2145,96.60%,417
NX122,Edridge Road Community Health Centre,787,N/A,0
RVR,Epsom And St Helier University Hospitals NHS Trust,3001,97.60%,663
RJ1,Guy's And St Thomas' NHS Foundation Trust,3464,95.50%,642
Y03082,Harold Wood Walk In Centre,1066,N/A,0
RQX,Homerton University Hospital NHS Foundation Trust,2340,96.40%,312
RY9,Hounslow And Richmond Community Healthcare NHS Trust,931,N/A,0
G85715,Hurley Group Practice,542,N/A,0
RYJ,Imperial College Healthcare NHS Trust,5515,92.20%,929
RJZ,King's College Hospital NHS Foundation Trust,5703,81.60%,952
RAX,Kingston Hospital NHS Foundation Trust,2209,94.10%,335
RJ2,Lewisham And Greenwich NHS Trust,5450,87.20%,936
RP6,Moorfields Eye Hospital NHS Foundation Trust,1816,N/A,0
RAT,North East London NHS Foundation Trust,1157,N/A,0
RAP,North Middlesex University Hospital NHS Trust,3577,92.50%,621
RV8,North West London Hospitals NHS Trust,4317,90.70%,776
Y02973,Orchard Village Walk-In-Centre,150,N/A,0
Y02585,Orient Practice,250,N/A,0
RPG,Oxleas NHS Foundation Trust,914,N/A,0
RT3,Royal Brompton & Harefield NHS Foundation Trust,0,N/A,0
RAL,Royal Free London NHS Foundation Trust,1840,97.00%,318
RAN,Royal National Orthopaedic Hospital NHS Trust,0,N/A,0
Y03047,St Andrews Walk-In Centre,449,N/A,0
RJ7,St George's Healthcare NHS Trust,2945,93.50%,851
F84747,The Barkantine Practice,531,N/A,0
RAS,The Hillingdon Hospitals NHS Foundation Trust,2972,92.70%,461
Y02987,The Practice Loxford,309,N/A,0
E84068,The Ridgeway Surgery,191,N/A,0
RKE,The Whittington Hospital NHS Trust,1975,95.70%,391
NTPAK,Tollgate Lodge Medical Centre,118,N/A,0
RRV,University College London Hospitals NHS Foundation Trust,2587,96.90%,281
NDA,Virgin Care Services Ltd,1386,N/A,0
Y03201,Waldron - Hurley Unregistered Practice,599,N/A,0
RFW,West Middlesex University Hospital NHS Trust,2791,93.50%,415
REM,Aintree University Hospital NHS Foundation Trust,2084,95.00%,399
RBS,Alder Hey Children's NHS Foundation Trust,1223,98.70%,360
RY1,Liverpool Community Health NHS Trust,3695,N/A,0
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,0,N/A,0
REP,Liverpool Women's NHS Foundation Trust,198,N/A,0
RQ6,Royal Liverpool And Broadgreen University Hospitals NHS Trust,2100,94.20%,597
RVY,Southport And Ormskirk Hospital NHS Trust,2379,94.50%,276
RBN,St Helens And Knowsley Hospitals NHS Trust,2362,93.60%,628
RET,The Walton Centre NHS Foundation Trust,0,N/A,0
NNF,City Healthcare Partnership Cic,733,N/A,0
RCD,Harrogate And District NHS Foundation Trust,1316,94.90%,197
RWA,Hull And East Yorkshire Hospitals NHS Trust,2590,95.20%,778
RV9,Humber NHS Foundation Trust,290,N/A,0
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,2860,90.10%,573
RCB,York Teaching Hospital NHS Foundation Trust,3399,96.90%,594
RJF,Burton Hospitals NHS Foundation Trust,2170,93.40%,318
Y02421,Malling Health - Telford Wic,180,N/A,0
RJD,Mid Staffordshire NHS Foundation Trust,940,88.30%,259
RXW,Shrewsbury And Telford Hospital NHS Trust,2339,92.50%,453
R1D,Shropshire Community Health NHS Trust,469,N/A,0
Y02495,Shropshire Walk In Health Centre,515,N/A,0
R1E,Staffordshire And Stoke On Trent Partnership NHS Trust,414,N/A,0
RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,N/A,0
RJE,University Hospital Of North Staffordshire NHS Trust,3606,76.90%,870
RFF,Barnsley Hospital NHS Foundation Trust,1592,91.50%,420
NTP08,Care Uk NHS Rotherham Diagnostic Centre,1043,N/A,0
RP5,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,3387,94.70%,580
RCU,Sheffield Children's NHS Foundation Trust,1083,97.60%,123
Y02565,Sheffield City GP Hc (Wic),1309,N/A,0
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,3048,91.10%,602
RFR,The Rotherham NHS Foundation Trust,1450,98.90%,307
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,2155,94.90%,417
Y02688,Ashford Health Centre,919,N/A,0
RXH,Brighton And Sussex University Hospitals NHS Trust,3104,86.00%,744
RXC,East Sussex Healthcare NHS Trust,2722,90.90%,517
RDU,Frimley Park Hospital NHS Foundation Trust,2005,92.90%,542
RPC,Queen Victoria Hospital NHS Foundation Trust,253,N/A,0
RA2,Royal Surrey County Hospital NHS Foundation Trust,1431,96.90%,349
RTP,Surrey And Sussex Healthcare NHS Trust,1678,97.00%,522
RDR,Sussex Community NHS Trust,1343,N/A,0
RYR,Western Sussex Hospitals NHS Foundation Trust,2608,95.90%,701
RWX,Berkshire Healthcare NHS Foundation Trust,1332,N/A,0
RXQ,Buckinghamshire Healthcare NHS Trust,2372,90.10%,447
RD7,Heatherwood And Wexham Park Hospitals NHS Foundation Trust,2402,85.90%,659
RNU,Oxford Health NHS Foundation Trust,596,N/A,0
RTH,Oxford University Hospitals NHS Trust,2668,88.30%,633
NVC03,Reading NHS Treatment Centre,729,N/A,0
RHW,Royal Berkshire NHS Foundation Trust,2214,86.40%,569
RBD,Dorset County Hospital NHS Foundation Trust,719,96.80%,241
RDY,Dorset Healthcare University NHS Foundation Trust,758,N/A,0
RN5,Hampshire Hospitals NHS Foundation Trust,2163,95.30%,399
R1F,Isle Of Wight NHS Trust,1247,95.30%,139
RD3,Poole Hospital NHS Foundation Trust,1238,95.20%,362
RHU,Portsmouth Hospitals NHS Trust,2551,83.10%,647
R1C,Solent NHS Trust,339,N/A,0
RW1,Southern Health NHS Foundation Trust,445,N/A,0
NTPAD,St Mary's NHS Treatment Centre,857,N/A,0
RDZ,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,1644,93.80%,390
RHM,University Hospital Southampton NHS Foundation Trust,3152,84.30%,436
RCF,Airedale NHS Foundation Trust,1062,93.70%,250
RAE,Bradford Teaching Hospitals NHS Foundation Trust,2535,94.20%,633
RWY,Calderdale And Huddersfield NHS Foundation Trust,2744,96.10%,577
Y01231,Lcd-Leeds-Ooh,607,N/A,0
RR8,Leeds Teaching Hospitals NHS Trust,4469,96.00%,"1,438"
Y01069,Local Care Direct Ooh,634,N/A,0
RXF,Mid Yorkshire Hospitals NHS Trust,4436,99.20%,970
RXG,South West Yorkshire Partnership NHS Foundation Trust,0,N/A,0
